,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4132,2930,1202,47486.07696030978,45863.05870307167,51442.352745424294,1007,376,631,77016.00794438928,97865.9574468085,64591.94928684628,1700,1385,315,36597.64,34139.71119133574,47404.723809523806,1425,1169,256,39607.973333333335,43026.22925577417,23998.828125
21,Orange County (Northeast)--Greater Newburgh City PUMA,2651,1367,1284,45340.48283666541,43354.07461594733,47455.29595015576,350,64,286,96367.14285714286,138968.75,86833.91608391609,1609,769,840,39461.54133001865,42966.605981794535,36252.73809523809,692,534,158,33201.58959537572,32452.62172284644,35732.91139240506
22,Suffolk County (East) PUMA,4872,3476,1396,37626.648193760266,40518.01783659378,30427.220630372492,807,657,150,52377.69516728625,53476.10350076103,47566.666666666664,3090,2135,955,35166.00647249191,37808.8337236534,29257.696335078534,975,684,291,33215.661538461536,36527.73391812865,25430.584192439863
23,Tompkins County PUMA,228,165,63,48831.71052631579,51437.757575757576,42006.34920634921,132,111,21,48254.77272727273,48677.747747747744,46019.04761904762,94,52,42,50148.936170212764,58346.153846153844,40000.0,2,2,0,25000.0,25000.0,0.0
24,Monroe County (Central)--Rochester City (East) PUMA,524,299,225,50473.62595419848,42634.44816053512,60891.02222222222,77,13,64,45246.753246753244,100000.0,34125.0,336,225,111,60202.67857142857,43954.22222222222,93138.73873873874,111,61,50,24649.369369369368,25540.983606557376,23561.6
25,Ontario & Yates Counties PUMA,267,165,102,21901.87265917603,26977.575757575756,13691.176470588236,0,0,0,#DIV/0!,0.0,0.0,125,85,40,26840.0,28511.764705882353,23287.5,142,80,62,17554.929577464787,25347.5,7500.0
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",8018,4856,3162,35407.62584185582,36429.24299835255,33838.69070208729,1411,510,901,44754.28773919206,46118.82352941176,43981.9089900111,4955,3262,1693,34450.53481331988,37060.48436541999,29421.795629060838,1652,1084,568,30295.18401937046,29970.944649446494,30913.978873239437
27,Chautauqua County PUMA,137,62,75,21478.10218978102,22120.967741935485,20946.666666666668,7,0,7,40857.142857142855,0.0,40857.142857142855,83,15,68,20632.530120481926,28500.0,18897.058823529413,47,47,0,20085.106382978724,20085.106382978724,0.0
28,Genesee & Orleans Counties PUMA,245,207,38,23067.591836734693,20762.318840579712,35625.26315789474,16,16,0,16000.0,16000.0,0.0,50,12,38,35811.2,36400.0,35625.26315789474,179,179,0,20139.664804469274,20139.664804469274,0.0
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1022,699,323,49625.53816046967,54320.02861230329,39466.25386996904,253,235,18,93790.5138339921,96761.70212765958,55000.0,461,191,270,36097.830802603035,30662.303664921466,39942.96296296296,308,273,35,33594.805194805194,34337.728937728934,27800.0
30,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,87,41,46,29195.402298850575,36292.68292682927,22869.565217391304,12,12,0,66000.0,66000.0,0.0,75,29,46,23306.666666666668,24000.0,22869.565217391304,0,0,0,#DIV/0!,0.0,0.0
