,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
96,Sullivan & Ulster (West) Counties PUMA,27165,15196,11969,52161.8644579422,53098.197420373785,50973.083799816195,7318,3187,4131,77309.35884121344,79763.54188892375,75415.9961268458,18355,10707,7648,42705.72378098611,45959.391052582425,38150.67468619247,1492,1302,190,45149.86595174263,46533.48694316436,35668.42105263158
97,Cayuga & Onondaga (South) Counties PUMA,37696,21132,16564,54651.468909168085,61910.19581677077,45390.939024390245,11788,5877,5911,73200.83389888021,90016.67857750553,56481.71375401793,24479,13895,10584,45843.47530536378,50807.6882331774,39326.304232804236,1429,1360,69,52517.78166550035,53886.330882352944,25543.478260869564
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",248,35,213,22798.387096774193,35500.0,20711.267605633802,83,0,83,17900.0,0.0,17900.0,165,35,130,25262.424242424244,35500.0,22506.153846153848,0,0,0,#DIV/0!,0.0,0.0
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,25824,15362,10462,73136.50495662949,83316.58833485223,58188.46052380042,9654,5100,4554,86141.97431116636,97214.36862745098,73742.05972771191,15661,9884,5777,66439.08971330055,77919.54168352894,46796.92470140211,509,378,131,32534.18467583497,36929.62962962963,19851.14503816794
100,Onondaga County (Central)--Syracuse City PUMA,18327,9743,8584,47693.92033611611,50151.882479729036,44904.08748835042,7888,4649,3239,60342.948022312376,61721.974833297485,58363.60389008954,10054,4884,5170,38129.033618460315,39135.81695331696,37177.94468085106,385,210,175,38316.88311688312,50214.28571428572,24040.0
101,Ulster County (East) PUMA,38816,19226,19590,61345.69643961253,68580.19556850099,54245.620877998976,15672,6027,9645,76419.9806661562,85226.27177700348,70917.07589424572,21823,12224,9599,51459.06685606929,62016.500327225134,38014.53443066986,1321,975,346,45836.033308099926,47973.743589743586,39812.1387283237
102,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,7241,4384,2857,78626.49495925977,87281.82025547445,65345.09975498775,4018,2298,1720,85641.90642110503,97571.07919930374,69703.97674418605,3024,1945,1079,71710.27447089947,78080.80205655527,60226.79332715477,199,141,58,42077.38693467337,46510.63829787234,31300.0
103,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,5791,3208,2583,49563.192885512,46116.69264339152,53843.63143631436,2765,1214,1551,57932.40506329114,66300.65897858319,51382.39845261122,2838,1806,1032,42821.8992248062,34410.049833887046,57542.635658914725,188,188,0,28238.297872340427,28238.297872340427,0.0
104,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,26887,15047,11840,51133.054301335214,60098.65428324583,39739.01858108108,9864,5678,4186,65335.48154906731,76640.9316660796,50000.47300525561,16107,8895,7212,44270.01241696157,51874.31028667791,34891.167498613424,916,474,442,18873.52729257642,16276.900843881856,21658.14479638009
105,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,25677,14045,11632,96600.9526034973,112399.93065147739,77524.55588033012,14089,6588,7501,115458.71176094825,144342.70734669096,90090.39248100253,11022,7094,3928,75397.5476320087,87010.8218212574,54423.87983706721,566,363,203,40093.81625441696,28849.86225895317,60200.0
106,Saratoga County (Outer) PUMA,38977,21609,17368,60717.28963234728,64614.61557684298,55868.29629203132,14527,7837,6690,80837.70854271356,91244.26719407937,68646.94618834081,23252,12798,10454,46448.753053500775,50502.41490857946,41486.177539697725,1198,974,224,93674.45742904842,35776.18069815195,345428.5714285714
107,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",42421,25786,16635,130631.93333490488,144492.7511052509,109146.20763450555,36947,21757,15190,136917.78071291308,154438.05120191202,111823.07860434496,5474,4029,1445,88205.33430763609,90787.14321171507,81006.64359861592,0,0,0,#DIV/0!,0.0,0.0
108,NYC-Brooklyn Community District 4--Bushwick PUMA,10496,5544,4952,58222.337652439026,61278.81493506493,54800.465670436184,8993,4355,4638,60416.21883687312,66969.26521239954,54263.0241483398,1420,1106,314,45744.08450704225,40919.168173598555,62738.85350318471,83,83,0,34000.0,34000.0,0.0
109,Suffolk County (Central)--Islip Town (East) PUMA,29884,17678,12206,80186.81585463793,88079.55826450956,68755.72456169098,13483,6383,7100,95727.83905658979,107331.07002976656,85296.37098591549,15227,10317,4910,69313.4176134498,80933.39245904818,44897.270875763745,1174,978,196,42733.3398637138,37818.40593047035,67257.85714285714
