,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",2081,1043,1038,51532.18644882268,56809.395973154365,46229.55684007707,1219,891,328,51325.660377358494,57629.854096520765,34200.54878048781,825,152,673,46479.393939393936,52000.0,45232.54086181278,37,0,37,171000.0,0.0,171000.0
67,Oswego County PUMA,1315,822,493,44395.74144486692,51082.72506082725,33246.247464503045,129,0,129,88400.0,0.0,88400.0,1094,730,364,41258.50091407678,55000.0,13700.0,92,92,0,20000.0,20000.0,0.0
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",16316,11267,5049,46763.79995096837,49085.31641075708,41583.264012675776,7534,3617,3917,57172.31218476241,76226.90074647497,39577.099821291806,7880,6748,1132,38822.27918781726,37194.59988144635,48525.08833922262,902,902,0,29204.434589800443,29204.434589800443,0.0
69,Monroe County (Central)--Rochester City (East) PUMA,5036,2528,2508,33001.05162827641,32789.729430379746,33214.059011164274,954,388,566,52923.769392033544,46862.67010309279,57078.727915194344,3360,1805,1555,28236.04761904762,31650.481994459835,24272.66881028939,722,335,387,28851.662049861498,22628.65671641791,34238.50129198966
70,Westchester County (Northeast) PUMA,2660,1312,1348,80744.7932330827,103964.93902439025,58144.77002967359,1369,625,744,119611.50474799123,187192.0,62840.25537634409,1247,643,604,39513.23175621492,27444.790046656297,52360.92715231788,44,44,0,40000.0,40000.0,0.0
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",13796,7063,6733,35790.7596404755,37524.18235877106,33972.377840487155,1920,515,1405,48221.416666666664,70211.6504854369,40160.93950177936,10055,5588,4467,35704.73396320239,36704.15175375805,34454.5108573987,1821,960,861,23159.308072487645,24761.979166666668,21372.357723577235
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4785,2975,1810,40796.76698014629,45973.489075630256,32288.066298342543,1009,544,465,56716.67988107037,58174.13602941176,55011.6129032258,3345,2216,1129,39317.60837070254,46274.54873646209,25662.533215234722,431,215,216,15006.960556844548,12000.0,18000.0
73,Onondaga County (North) PUMA,912,500,412,34182.02850877193,35684.02,32359.223300970873,224,0,224,45669.642857142855,0.0,45669.642857142855,627,439,188,28791.068580542265,34054.66970387244,16500.0,61,61,0,47410.0,47410.0,0.0
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2192,992,1200,49833.53102189781,61107.8629032258,40513.416666666664,495,0,495,54328.080808080806,0.0,54328.080808080806,1191,910,281,53244.08060453401,61928.57142857143,25119.928825622777,506,82,424,37409.09090909091,52000.0,34587.264150943396
75,Monroe County (South) PUMA,958,387,571,60377.34864300626,79015.50387596899,47745.18388791594,407,218,189,87353.80835380836,92981.6513761468,80862.43386243386,551,169,382,40450.99818511797,61000.0,31359.947643979056,0,0,0,#DIV/0!,0.0,0.0
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2379,1552,827,86213.82934005884,96724.22680412371,66489.35912938332,1519,1297,222,105322.05398288347,103823.43870470316,114077.47747747747,656,51,605,47314.78658536585,27000.0,49027.27272727273,204,204,0,69019.60784313726,69019.60784313726,0.0
77,Rensselaer County--Troy City PUMA,1077,512,565,50512.906220984216,53587.5,47726.72566371682,342,230,112,61929.82456140351,67252.17391304347,51000.0,735,282,453,45200.54421768708,42442.55319148936,46917.43929359823,0,0,0,#DIV/0!,0.0,0.0
78,Suffolk County (Central)--Islip Town (East) PUMA,1767,654,1113,52339.83022071308,66912.96636085627,43776.639712488766,795,358,437,69089.40880503145,70058.88268156424,68295.19450800915,972,296,676,38640.329218107,63108.10810810811,27926.62721893491,0,0,0,#DIV/0!,0.0,0.0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3789,2136,1653,85075.0593824228,102628.08988764045,62393.10344827586,1969,941,1028,120558.04977145759,166163.65568544102,78812.06225680934,1675,1050,625,42072.0,46051.04761904762,35387.2,145,145,0,100000.0,100000.0,0.0
80,Ontario & Yates Counties PUMA,1654,1068,586,29715.054413542926,30248.78277153558,28742.32081911263,311,245,66,20000.0,20000.0,20000.0,923,403,520,37409.209100758395,47160.54590570719,29851.923076923078,420,420,0,20000.0,20000.0,0.0
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,4103,2321,1782,35625.5422861321,37671.86557518311,32960.26936026936,1053,368,685,58119.65811965812,72701.08695652174,50286.131386861314,2025,1326,699,32802.27160493827,35978.43137254902,26777.110157367668,1025,627,398,18094.634146341465,20693.77990430622,14000.0
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,2093,1185,908,48940.65934065934,55102.95358649789,40898.45814977973,727,104,623,53349.10591471802,76288.46153846153,49519.743178170145,1366,1081,285,46594.436310395315,53064.75485661424,22052.63157894737,0,0,0,#DIV/0!,0.0,0.0
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",8262,4012,4250,63082.77656741709,69608.3000997009,56922.68235294118,3298,973,2325,70081.59490600364,90696.91675231243,61454.1935483871,4131,2495,1636,58490.19607843137,66105.57114228456,46876.28361858191,833,544,289,58148.619447779114,47954.044117647056,77338.40830449827
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",865,542,323,64864.48554913295,79604.20664206642,40130.95975232198,281,281,0,65037.29537366548,65037.29537366548,0.0,584,261,323,64781.33561643836,95287.35632183908,40130.95975232198,0,0,0,#DIV/0!,0.0,0.0
85,Chautauqua County PUMA,932,206,726,30465.236051502146,34854.36893203884,29219.834710743802,206,0,206,44174.7572815534,0.0,44174.7572815534,623,206,417,26240.449438202246,34854.36893203884,21985.131894484413,103,0,103,28600.0,0.0,28600.0
86,Orange County (Southeast) PUMA,3884,2895,989,71210.9165808445,72978.65284974093,66036.40040444894,1500,736,764,68874.66666666667,69459.23913043478,68311.51832460733,2384,2159,225,72680.87248322148,74178.41593330246,58311.11111111111,0,0,0,#DIV/0!,0.0,0.0
87,Monroe County (East) PUMA,1657,863,794,44355.22027761014,59382.38702201622,28022.166246851386,126,0,126,59603.1746031746,0.0,59603.1746031746,1209,672,537,51126.2200165426,71997.02380952382,25008.56610800745,322,191,131,12965.83850931677,15000.0,10000.0
88,Broome (Outer West) & Tioga Counties PUMA,855,855,0,77059.64912280702,77059.64912280702,0.0,124,124,0,130000.0,130000.0,0.0,318,318,0,50000.0,50000.0,0.0,413,413,0,82000.0,82000.0,0.0
