,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
59,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,7360,3985,3375,75476.93614130435,87302.747804266,61513.718518518515,4133,1943,2190,87153.31478345027,107310.16469377252,69269.86301369863,2750,1685,1065,65336.0,74766.646884273,50415.211267605635,477,357,120,32770.6498951782,37579.83193277311,18463.333333333332
60,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1412,983,429,61681.798866855526,69073.4486266531,44744.755244755244,440,289,151,67757.72727272728,78378.54671280277,47430.46357615894,680,410,270,62574.117647058825,74880.24390243902,43887.03703703704,292,284,8,50448.28767123288,51221.47887323944,23000.0
61,Erie County (North Central) PUMA,1138,660,478,86763.11423550088,107091.69696969698,58694.359832635986,952,539,413,98014.2268907563,124016.77179962894,64078.702179176755,135,70,65,31573.333333333332,38157.142857142855,24483.076923076922,51,51,0,22832.941176470587,22832.941176470587,0.0
62,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,129,114,15,38926.35658914729,41745.61403508772,17500.0,15,0,15,17500.0,0.0,17500.0,59,59,0,46949.15254237288,46949.15254237288,0.0,55,55,0,36163.63636363636,36163.63636363636,0.0
63,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7421,4559,2862,69249.83236760544,73604.84448343934,62312.55066387142,3885,2192,1693,82408.4211068211,87089.049270073,76348.2102776137,2999,1908,1091,54713.93464488163,61536.734800838574,42781.85151237397,537,459,78,55231.28491620112,59375.163398692814,30846.153846153848
64,Madison & Cortland Counties PUMA,315,134,181,92116.03174603175,143645.5223880597,53967.127071823204,214,88,126,122120.32710280374,201426.13636363635,66732.14285714286,101,46,55,28542.574257425742,33108.69565217391,24723.636363636364,0,0,0,#DIV/0!,0.0,0.0
65,Westchester County (Northwest) PUMA,2142,1317,825,98891.87675070028,113622.77904328018,75376.0,1268,746,522,122980.04731861199,143015.54959785522,94346.93486590039,707,462,245,61998.727015558696,71174.45887445887,44695.91836734694,167,109,58,72183.23353293413,92376.14678899082,34234.48275862069
66,NYC-Brooklyn Community District 4--Bushwick PUMA,755,434,321,43882.03973509934,47767.60368663594,38628.66043613707,530,276,254,42681.32075471698,46322.82608695652,38724.4094488189,170,103,67,49469.64705882353,56757.669902912625,38265.67164179104,55,55,0,38181.818181818184,38181.818181818184,0.0
67,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1105,524,581,78743.04977375566,107742.97709923664,52588.2099827883,683,279,404,89505.30014641289,136162.43727598566,57284.158415841586,385,208,177,56607.66233766234,69149.03846153847,41869.774011299436,37,37,0,110405.4054054054,110405.4054054054,0.0
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",2178,1489,689,57143.783287419654,54636.440564137,62562.40928882438,1337,795,542,64579.476439790575,65716.67924528301,62911.43911439114,745,598,147,48985.23489932886,45964.04682274247,61275.510204081635,96,96,0,16900.0,16900.0,0.0
69,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2126,1381,745,126253.00564440263,139103.17885590153,102432.75167785234,1849,1119,730,138547.2363439697,161055.799821269,104044.38356164383,208,193,15,54827.16346153846,57223.05699481865,24000.0,69,69,0,12115.942028985508,12115.942028985508,0.0
70,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1329,711,618,64330.188111361924,74494.96483825598,52635.760517799354,741,328,413,82138.75843454791,112561.9512195122,57976.99757869249,536,331,205,38899.253731343284,37056.19335347432,41875.12195121951,52,52,0,72692.30769230769,72692.30769230769,0.0
71,Suffolk County (Central)--Islip Town (East) PUMA,836,595,241,69692.77511961723,78902.95798319328,46953.94190871369,377,279,98,99696.18037135279,112177.27598566309,64163.26530612245,420,277,143,44318.80952380953,49046.93140794224,35160.13986013986,39,39,0,52917.94871794872,52917.94871794872,0.0
72,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,5115,2898,2217,52958.19315738026,60344.82332643202,43302.59810554804,2676,1316,1360,58169.97683109118,78050.54559270517,38932.60294117647,2113,1443,670,42962.84902981543,44135.81427581428,40436.59701492537,326,139,187,74962.57668711657,60984.17266187051,85352.94117647059
73,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",116,90,26,35856.89655172414,32226.666666666668,48423.07692307692,26,0,26,48423.07692307692,0.0,48423.07692307692,90,90,0,32226.666666666668,32226.666666666668,0.0,0,0,0,#DIV/0!,0.0,0.0
74,Erie County (West Central)--Buffalo City (East) PUMA,366,302,64,43508.19672131148,33678.807947019865,89890.625,100,36,64,79370.0,60666.666666666664,89890.625,187,187,0,28352.941176470587,28352.941176470587,0.0,79,79,0,33987.3417721519,33987.3417721519,0.0
