,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
104,Rockland County (North)--New City & Congers PUMA,1381,896,485,38504.98913830557,37595.41294642857,40185.36082474227,166,90,76,89334.27710843373,125483.22222222222,46526.31578947369,768,446,322,36236.067708333336,29191.479820627803,45993.47826086957,447,360,87,23527.069351230424,26035.0,13149.425287356322
105,Saratoga County (Outer) PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
106,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,4210,2849,1361,36486.733966745844,40490.628290628294,28105.326965466567,324,181,143,48862.345679012345,45287.29281767956,53387.41258741259,2531,1484,1047,34853.79296720664,42671.832884097035,23772.63610315186,1355,1184,171,36577.71217712177,37023.47972972973,33491.228070175435
107,Putnam County PUMA,564,419,145,54504.255319148935,56543.19809069212,48612.41379310345,127,26,101,53181.10236220472,35000.0,57861.38613861386,330,286,44,62001.818181818184,67327.97202797203,27381.81818181818,107,107,0,32951.40186915888,32951.40186915888,0.0
108,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,1786,1443,343,32139.753639417693,31999.3762993763,32730.320699708456,285,176,109,29428.070175438595,24784.090909090908,36926.605504587154,1015,833,182,35563.74384236453,36005.882352941175,33540.10989010989,486,434,52,26579.012345679013,27235.483870967742,21100.0
109,Orange County (Southeast) PUMA,717,430,287,81159.27475592747,54391.16279069767,121264.80836236934,287,91,196,120961.6724738676,59527.47252747253,149484.693877551,342,251,91,60995.3216374269,61180.876494023905,60483.51648351648,88,88,0,29713.636363636364,29713.636363636364,0.0
110,Onondaga County (Central)--Syracuse City (Outer) PUMA,135,61,74,52117.03703703704,58360.65573770492,46970.27027027027,68,29,39,78129.41176470589,84310.3448275862,73533.33333333333,48,13,35,18083.333333333332,20000.0,17371.428571428572,19,19,0,45000.0,45000.0,0.0
111,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1527,1132,395,28441.912246234446,25957.68551236749,35561.26582278481,163,140,23,50993.865030674846,51814.28571428572,46000.0,714,447,267,31746.358543417366,25885.234899328858,41558.80149812734,650,545,105,19156.76923076923,19375.045871559632,18023.809523809523
112,Monroe County (East) PUMA,67,67,0,54246.26865671642,54246.26865671642,0.0,0,0,0,#DIV/0!,0.0,0.0,67,67,0,54246.26865671642,54246.26865671642,0.0,0,0,0,#DIV/0!,0.0,0.0
113,NYC-Manhattan Community District 10--Central Harlem PUMA,1512,611,901,36207.94312169312,38221.53846153846,34842.45283018868,613,183,430,44771.94127243067,50693.98907103825,42251.62790697674,762,340,422,29592.139107611547,29863.41176470588,29373.578199052132,137,88,49,34686.131386861314,44577.27272727273,16922.448979591838
114,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1004,735,269,40091.53386454183,40624.489795918365,38635.31598513011,137,73,64,86667.15328467153,80136.98630136986,94115.625,594,468,126,36414.98316498317,41803.418803418805,16400.79365079365,273,194,79,24717.94871794872,22912.371134020617,29151.898734177215
115,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,264,141,123,73701.89393939394,80420.56737588653,66000.0,99,21,78,142111.11111111112,340000.0,88833.33333333333,120,75,45,29265.0,30970.666666666668,26422.222222222223,45,45,0,41700.0,41700.0,0.0
116,Wayne & Seneca Counties PUMA,66,66,0,124333.33333333333,124333.33333333333,0.0,64,64,0,126656.25,126656.25,0.0,0,0,0,#DIV/0!,0.0,0.0,2,2,0,50000.0,50000.0,0.0
117,Schenectady County--Schenectady City PUMA,104,47,57,41961.53846153846,34638.29787234042,48000.0,57,0,57,48000.0,0.0,48000.0,27,27,0,24000.0,24000.0,0.0,20,20,0,49000.0,49000.0,0.0
118,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",936,587,349,41580.982905982906,43689.608177172064,38034.38395415473,160,19,141,51806.25,180000.0,34531.914893617024,622,414,208,43094.53376205788,44443.961352657,40408.653846153844,154,154,0,24844.155844155845,24844.155844155845,0.0
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",879,366,513,46969.35153583618,41475.956284153006,50888.61598440546,161,74,87,109881.98757763975,92108.1081081081,125000.0,386,149,237,38136.94300518135,38182.55033557047,38108.27004219409,332,143,189,26729.518072289156,18706.293706293705,32800.0
120,Westchester County (Northeast) PUMA,1841,1342,499,32632.265073329712,30120.491803278688,39387.374749498995,271,119,152,53101.845018450185,56559.663865546216,50394.73684210526,841,527,314,34369.56004756242,34592.97912713473,33994.58598726115,729,696,33,23018.655692729768,22213.505747126437,40000.0
121,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1303,685,618,51715.27244819647,58723.357664233576,43947.411003236244,324,163,161,93316.97530864198,128820.24539877301,57372.67080745342,682,323,359,40543.69501466276,36751.70278637771,43955.431754874655,297,199,98,31984.848484848484,36969.849246231155,21862.244897959183
122,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,2357,1484,873,33442.24862112855,33123.76010781671,33983.64261168385,533,251,282,43336.960600375234,46231.87250996016,40760.283687943265,1315,863,452,32185.64258555133,31245.654692931636,33980.35398230088,509,370,139,26327.426326129666,28612.054054054053,20246.043165467625
123,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",364,328,36,39504.945054945056,41695.12195121951,19550.0,75,75,0,65000.0,65000.0,0.0,219,201,18,35054.79452054795,34791.0447761194,38000.0,70,52,18,26111.428571428572,34769.230769230766,1100.0
124,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,344,249,95,50945.348837209305,51161.44578313253,50378.94736842105,63,52,11,94603.1746031746,92403.84615384616,105000.0,161,97,64,49217.391304347824,50443.298969072166,47359.375,120,100,20,30343.333333333332,30412.0,30000.0
125,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,4985,3061,1924,45035.52557673019,46842.997386475006,42159.91683991684,1362,775,587,52218.13142437592,60791.116129032256,40899.45485519591,3034,1814,1220,43609.063941990775,43250.551267916206,44142.13114754098,589,472,117,35774.36332767402,37747.457627118645,27814.529914529914
126,Suffolk County (Northwest)--Huntington Town (South) PUMA,125,36,89,45584.0,58694.444444444445,40280.89887640449,45,17,28,62111.11111111111,55000.0,66428.57142857143,80,19,61,36287.5,62000.0,28278.688524590165,0,0,0,#DIV/0!,0.0,0.0
