,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
103,Madison & Cortland Counties PUMA,1.7614494212380472,0.2678093197643278,2.7684159845931635,6.390991188621989,7.461322540635812,5.0282579787234045,2.445745780227351,4.149620105201636,0.0
104,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.9154355116468775,0.0,1.9866247049567272,2.583170254403131,0.0,6.521739130434782,0.0,0.0,#DIV/0!
105,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,0.0,#DIV/0!
107,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1.991203043271517,1.2177079776943212,2.8368794326241136,1.9762845849802373,3.293807641633729,0.0,0.0,0.0,0.0
108,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",3.1406249999999996,0.0,5.134099616858237,2.64174503453389,2.3706422018348623,2.949508415264123,17.62894534257121,19.891304347826086,12.137203166226913
109,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0.7556406981694338,0.0,1.5805877114870883,5.670934743057225,4.490359856810903,7.094185342216838,12.429643527204503,13.05758313057583,11.568409343715238
110,Livingston & Wyoming Counties PUMA,3.8246931114943696,9.188398732634658,0.0,3.0605431072859473,3.656273199703044,2.168272794662713,0.0,0.0,0.0
111,Putnam County PUMA,2.286144956663736,2.0269351108692697,2.508458756271147,4.850242849433351,7.178589294647324,2.1236086701816053,0.0,0.0,0.0
112,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",0.0,0.0,0.0,16.920943134535367,31.606217616580313,0.0,0.0,#DIV/0!,0.0
113,Suffolk County (Northwest)--Huntington Town (North) PUMA,2.330898343835387,0.9688496443463331,3.466612128029451,1.8456952883182391,2.505446623093682,0.7153965785381027,0.0,0.0,0.0
114,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2.936288088642659,6.294536817102138,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
115,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,4.823406686205355,3.8785681921159942,5.969656992084433,15.502428091146806,15.489404641775984,15.53956834532374,0.0,0.0,#DIV/0!
116,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,3.9773419417712264,3.531949312483149,4.344444444444444,4.2005695687550855,5.6060076842472935,2.2406234778373113,#DIV/0!,#DIV/0!,#DIV/0!
117,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3.614564438348892,4.3912534869072255,2.8633594429939078,5.632560483870968,4.918032786885246,6.8917507831534985,0.0,0.0,0.0
118,Orange County (Northwest) PUMA,3.266649784755634,4.8940614741868105,2.067297118979547,3.16653183866867,1.2340514536707803,5.552685950413223,9.06288532675709,13.535911602209943,0.0
119,Nassau County (Central)--Hempstead Town (East Central) PUMA,1.6443098225876245,0.9263071222725402,2.2737525940629792,3.3783783783783785,5.265289590927501,0.0,0.0,0.0,0.0
120,Monroe County (North & West) PUMA,1.2572656052565074,2.406902815622162,0.4337453914552158,3.3609373623469296,2.2956549368496306,4.687036487689113,23.797626483447846,33.56828193832599,0.0
